city,city_id
Hồ Chí Minh- Hồ Chí Minh- Đồng Nai,299
Hải Phòng- Hà Tĩnh- Hà Nội,300
Hà Nội- Kiên Giang- Phú Thọ,301
Thái Nguyên- Hà Nội,302
Hải Phòng- Nam Định- Ninh Bình,303
Hồ Chí Minh- Thanh Hóa- Bắc Ninh,304
Quảng Nam- Đà Nẵng,305
Long An- Đồng Nai- Hưng Yên,306
Hồ Chí Minh- Quốc tế- Khác,307
Bắc Ninh- Hải Dương- Hà Nội,308
Hà Nội- Hưng Yên- Hà Nam,309
Hà Nội- Quảng Nam- Đà Nẵng,310
Hà Nội- Lạng Sơn,311
Bắc Ninh- Hồ Chí Minh,312
Ninh Thuận,313
Bình Dương- Đồng Nai- Hồ Chí Minh,314
Đà Nẵng- Quảng Nam,315
Nghệ An- Hồ Chí Minh,316
Hải Phòng- Thái Bình- Hải Dương,317
Hải Phòng- Bắc Ninh- Hải Dương,318
Hà Nội- Bắc Kạn,319
Hà Nội- Tuyên Quang,320
Hải Phòng- Hải Phòng- Hải Phòng,321
Quảng Ngãi- Bình Dương- Đồng Nai,322
Thanh Hóa- Hà Tĩnh- Hà Nội,323
Nghệ An- Thanh Hóa- Thanh Hóa,324
Hà Nội- Bắc Giang- Bắc Giang,325
Hải Phòng- Nam Định- Bắc Giang,326
Vĩnh Phúc- Đồng Nai,327
Bình Thuận,328
Nghệ An- Hà Tĩnh,329
Hà Nội- Bắc Giang,330
Hưng Yên- Thanh Hóa- Phú Thọ,331
Tiền Giang,332
Hà Nội- Nam Định- Bắc Ninh,333
Hà Nội- Vĩnh Phúc- Quảng Ninh,334
Hải Phòng- Đồng Nai,335
Quảng Bình- Nghệ An- Thanh Hóa,336
Long An- Bình Dương- Hồ Chí Minh,337
Hà Nội- Thanh Hóa,338
Hà Nội- Hà Tĩnh- Nghệ An,339
Hồ Chí Minh- Bắc Ninh- Hà Nội,340
Cần Thơ- Trà Vinh- Hồ Chí Minh,341
